Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
3630.0,0,0,0,0,1,0,0,1,0,Seance_3_AC_Grattoir
3660.0,0,0,1,1,1,0,0,1,0,Seance_3_AC_Grattoir
3690.0,0,0,1,1,1,0,0,1,0,Seance_3_AC_Grattoir
3720.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
3750.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
3780.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3810.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3840.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
3870.0,1,1,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
3900.0,0,1,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
3930.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3960.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3990.0,0,0,0,1,1,1,0,0,0,Seance_3_AC_Grattoir
4020.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
4050.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4080.0,0,0,0,0,1,0,0,0,1,Seance_3_AC_Grattoir
4110.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4140.0,0,1,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4170.0,1,0,1,0,0,0,0,0,0,Seance_3_AC_Grattoir
4200.0,1,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
4230.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
4260.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
4290.0,1,0,1,0,1,0,0,0,0,Seance_3_AC_Grattoir
4320.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
4350.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
